# From MPO250194
2212 Hephaistos,e,11.5543,27.5681,209.3419,2.160035,0.3104652,0.83743296,321.4010,04/18.0/2013,2000,H13.87,0.15
# From MPO253377
2329 Orthos,e,24.4226,169.4561,145.8199,2.404682,0.2643125,0.65690725,298.9463,04/18.0/2013,2000,H14.4,0.15
# From MPO219525
2340 Hathor,e,5.8543,211.4666,40.0115,0.844230,1.2706108,0.44984278,113.4943,04/18.0/2013,2000,H20.0,0.15
# From MPO253378
2368 Beltrovata,e,5.2364,287.5364,42.6595,2.104433,0.3228505,0.41378830,243.7640,04/18.0/2013,2000,H15.21,0.15
# From MPO181515
2608 Seneca,e,14.6760,167.3801,37.3010,2.517061,0.2468103,0.57094915,318.0833,04/18.0/2013,2000,H17.52,0.15
# From MPO229073
3102 Krok,e,8.4176,172.2440,154.4578,2.151821,0.3122446,0.44773433,9.9552,04/18.0/2013,2000,H16.1,0.15
# From MPO244205
3103 Eger,e,20.9312,129.8012,254.0172,1.404500,0.5921360,0.35424311,336.4664,04/18.0/2013,2000,H15.38,0.15
# From MPO233530
3122 Florence,e,22.1586,336.1291,27.7447,1.768510,0.4190761,0.42268203,40.9535,04/18.0/2013,2000,H14.0,0.15
# From MPO253384
3199 Nefertiti,e,32.9669,340.0327,53.3810,1.574398,0.4989217,0.28398542,143.7177,04/18.0/2013,2000,H14.84,0.15
# From MPO250234
3200 Phaethon,e,22.2405,265.2669,322.1484,1.271283,0.6876075,0.88993411,241.1324,04/18.0/2013,2000,H14.6,0.15
# From MPO226142
3271 Ul,e,25.0317,158.9185,158.8640,2.101941,0.3234248,0.39509946,26.0122,04/18.0/2013,2000,H16.5,0.15
# From MPO253384
3288 Seleucus,e,5.9306,218.6956,349.2438,2.033516,0.3398856,0.45622939,253.2218,04/18.0/2013,2000,H15.2,0.15
# From MPO250235
3352 McAuliffe,e,4.7731,107.3824,15.8945,1.878900,0.3826912,0.36903941,180.7745,04/18.0/2013,2000,H15.8,0.15
# From MPO250236
3360 Syrinx,e,21.4018,243.9292,62.1586,2.469631,0.2539545,0.74339385,61.6187,04/18.0/2013,2000,H15.9,0.15
# From MPO167516
3361 Orpheus,e,2.6850,189.5273,301.6821,1.209691,0.7407850,0.32277809,154.7385,04/18.0/2013,2000,H19.03,0.15
# From MPO 73856
3362 Khufu,e,9.9171,152.4594,55.0390,0.989437,1.0014334,0.46854752,114.3902,04/18.0/2013,2000,H18.3,0.15
# From MPO244209
3551 Verenia,e,9.5024,173.8700,193.2210,2.093285,0.3254330,0.48657401,275.6747,04/18.0/2013,2000,H16.75,0.15
# From MPO223184
3552 Don Quixote,e,30.9599,350.3063,317.0539,4.222117,0.1136079,0.71305724,149.8124,04/18.0/2013,2000,H12.9,0.15
# From MPO210363
3553 Mera,e,36.7709,232.5532,288.8796,1.644573,0.4673306,0.32005978,126.8184,04/18.0/2013,2000,H16.4,0.15
# From MPO253386
3554 Amun,e,23.3617,358.6401,359.3694,0.973687,1.0258289,0.28040527,238.9223,04/18.0/2013,2000,H15.82,0.15
# From MPO253387
3671 Dionysus,e,13.5502,82.1624,204.2018,2.197481,0.3025634,0.54243661,301.8772,04/18.0/2013,2000,H16.4,0.15
# From MPO236413
3688 Navajo,e,2.5584,19.9800,137.8727,3.222144,0.1704067,0.47820110,202.0088,04/18.0/2013,2000,H15.1,0.15
# From MPO223185
3691 Bede,e,20.3585,348.7818,234.9399,1.774318,0.4170202,0.28426018,33.7377,04/18.0/2013,2000,H14.5,0.15
# From MPO253388
3752 Camillo,e,55.5561,147.9836,312.2043,1.413369,0.5865712,0.30181365,65.4682,04/18.0/2013,2000,H15.2,0.15
# From MPO244211
3753 Cruithne,e,19.8070,126.2478,43.8098,0.997684,0.9890416,0.51478880,115.0352,04/18.0/2013,2000,H15.6,0.15
# From MPO250240
3757 1982 XB,e,3.8687,74.9862,17.1296,1.834720,0.3965968,0.44568956,68.1061,04/18.0/2013,2000,H18.95,0.15
# From MPO236414
3800 Karayusuf,e,14.8475,95.4750,115.6437,1.577757,0.4973291,0.07582533,174.9518,04/18.0/2013,2000,H14.9,0.15
# From MPO253388
3838 Epona,e,29.2306,235.5911,49.6013,1.505091,0.5337769,0.70216791,143.5585,04/18.0/2013,2000,H15.5,0.15
# From MPO253389
